Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій
багатий,чоловік,17,112,34
багатий,гроші,11,,
багатий,хлопець,6,,
багатіти,гроші,31,100,38
багатіти,швидко,7,,
багато,грошей,16,102,38
багато,мало,14,,
багато,щастя,8,,
багатство,гроші,46,102,62
багатство,бідність,8,,
багатство,велике,4,,
багатство,влада,4,,
бажаний,гість,22,101,46
бажаний,результат,7,,
бажаний,жаданий,5,,
бажаний,коханий,4,,
бажаний,подарунок,4,,
бажаний,хлопець,4,,
бажання,мрія,9,101,25
бажання,жити,7,,
бажання,відчуття,3,,
бажання,прагнення,3,,
бажання,пристрасть,3,,
бажано,добре,6,102,28
бажано,вчитися,5,,
бажано,зробити,5,,
бажано,небажано,3,,
бажано,прийти,3,,
бажано,треба,3,,
бажано,щастя,3,,
бажати,щастя,26,100,47
бажати,хотіти,13,,
бажати,добра,8,,
байдуже,мені,6,102,18
байдуже,все_рівно,4,,
байдуже,слухати,4,,
байдуже,все_одно,4,,
байдужий,чоловік,8,100,26
байдужий,людина,6,,
байдужий,до_всього,4,,
байдужий,до_людей,4,,
байдужий,холодний,4,,
байдужість,лінь,4,101,19
байдужість,апатія,3,,
байдужість,все_одно,3,,
байдужість,до_всього,3,,
байдужість,людина,3,,
байдужість,холодність,3,,
байдужо,ставитись,12,98,34
байдужо,поставитися,7,,
байдужо,відповісти,4,,
байдужо,все_одно,4,,
байдужо,дивитися,4,,
байдужо,ніяк,3,,
батько,мати,19,101,31
батько,рідний,6,,
батько,тато,6,,
бачення,світу,14,101,40
бачення,світогляд,10,,
бачення,світ,9,,
бачення,погляд,7,,
бачити,очі,20,100,43
бачити,світ,9,,
бачити,око,5,,
бачити,світло,5,,
бачити,зір,4,,
бачитися,часто,12,100,42
бачитися,зустріч,11,,
бачитися,з_друзями,8,,
бачитися,друзі,6,,
бачитися,зустрічатися,5,,
безталанний,чоловік,7,100,28
безталанний,доля,6,,
безталанний,людина,6,,
безталанний,нещасний,5,,
безталанний,бездарний,4,,
бентежити,хвилювати,8,100,31
бентежити,душу,6,,
бентежити,людей,5,,
бентежити,душа,4,,
бентежити,тривожити,4,,
бентежити,хвилювання,4,,
бентежитися,хвилюватися,9,98,17
бентежитися,переживати,8,,
біг,швидкий,18,101,38
біг,швидкість,11,,
біг,спорт,9,,
бігати,швидко,14,100,32
бігати,крос,7,,
бігати,ноги,6,,
бігати,спорт,5,,
бігом,швидко,20,102,33
бігом,йти,7,,
бігом,додому,6,,
бігти,швидко,28,112,34
бігти,крос,6,,
бідний,селянин,21,112,40
бідний,студент,8,,
бідний,бомж,6,,
бідний,чоловік,5,,
бідність,злидні,8,101,17
