Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій,Тип асоціації
зауваження,вчитель,4,101,16,слово контексту
зауваження,вчителя,4,,,слово контексту
зауваження,порада,4,,,синонім
зауваження,школа,4,,,слово контексту
зауважити,помилку,11,100,30,слово контексту
зауважити,щось,6,,,слово контексту
зауважити,дрібницю,5,,,слово контексту
зауважити,помилка,4,,,слово контексту
зауважити,помітити,4,,,синонім
захмаритися,небо,31,100,39,слово контексту
захмаритися,дощ,4,,,слово контексту
захмаритися,погода,4,,,слово контексту
захотіти,їсти,10,100,25,слово контексту
захотіти,бажання,9,,,слово контексту
захотіти,зробити,6,,,слово контексту
захотітися,бажання,13,103,22,синонім
захотітися,відпочити,3,,,слово контексту
захотітися,їсти,3,,,слово контексту
захотітися,чогось,3,,,слово контексту
зацікавити,когось,12,103,25,слово контексту
зацікавити,чимось,5,,,слово контексту
зацікавити,інтерес,4,,,синонім
зацікавити,людину,4,,,слово контексту
збагатити,себе,20,103,28,слово контексту
збагатити,розум,8,,,слово контексту
збагатіти,гроші,22,102,26,слово контексту
збагатіти,духовно,4,,,слово контексту
збайдужіти,до_когось,6,102,9,слово контексту
збайдужіти,до_життя,3,,,слово контексту
збентежений,нерви,4,101,20,слово контексту
збентежений,тривога,4,,,слово контексту
збентежений,екзамен,3,,,слово контексту
збентежений,наляканий,3,,,синонім
збентежений,страх,3,,,слово контексту
збентежений,схвильований,3,,,синонім
збентеження,страх,5,101,13,слово контексту
збентеження,хвилювання,5,,,синонім
збентеження,переживання,3,,,синонім
збентежити,когось,10,102,22,слово контексту
збентежити,всіх,3,,,слово контексту
збентежити,кого,3,,,слово контексту
збентежити,новина,3,,,слово контексту
збентежити,схвилювати,3,,,синонім
збентежитися,від_чогось,3,100,12,слово контексту
збентежитися,здивуватись,3,,,синонім
збентежитися,страх,3,,,слово контексту
збентежитися,хвилювання,3,,,слово контексту
збідніти,гроші,6,100,12,слово контексту
збідніти,втратити,3,,,синонім
збідніти,морально,3,,,слово контексту
збрехати,неправда,10,103,21,слово контексту
збрехати,погано,6,,,слово контексту
збрехати,комусь,5,,,слово контексту
зважити,вага,5,103,18,слово контексту
зважити,щось,5,,,слово контексту
зважити,обдумати,4,,,синонім
зважити,обміркувати,4,,,синонім
звеселити,когось,11,100,26,слово контексту
звеселити,людей,6,,,слово контексту
звеселити,душу,5,,,слово контексту
звеселити,компанію,4,,,слово контексту
звеселитися,радість,9,103,12,слово контексту
звеселитися,зрадіти,3,,,синонім
звикати,звичка,8,101,16,слово контексту
звикати,наркотики,4,,,слово контексту
звикати,привикати,4,,,синонім
звикнути,звичка,9,102,13,слово контексту
звикнути,життя,4,,,слово контексту
звичай,традиція,12,101,32,синонім
звичай,народний,10,,,слово контексту
звичай,обряд,10,,,синонім
звичайний,простий,14,101,22,синонім
звичайний,день,8,,,слово контексту
звичайно,як_завжди,10,103,20,синонім
звичайно,так,6,,,слово контексту
звичайно,жити,4,,,слово контексту
звичка,куріння,15,100,48,слово контексту
звичка,погана,15,,,слово контексту
звичка,шкідлива,11,,,слово контексту
звичка,курити,7,,,слово контексту
звичний,день,18,98,31,слово контексту
звичний,повсякденний,5,,,синонім
звичний,буденний,4,,,синонім
звичний,маршрут,4,,,слово контексту
звично,робити,7,100,21,слово контексту
звично,бачити,4,,,слово контексту
звично,жити,4,,,слово контексту
звично,завжди,3,,,слово контексту
звично,нудно,3,,,синонім
звільнений,з_роботи,12,98,23,слово контексту
звільнений,вʼязень,6,,,слово контексту
звільнений,працівник,5,,,слово контексту
звільнення,робота,10,101,37,слово контексту
звільнення,тюрма,8,,,слово контексту
звільнення,з_роботи,7,,,слово контексту
звільнення,воля,6,,,синонім
звільнення,свобода,6,,,синонім
звільнити,когось,6,100,17,слово контексту
звільнити,себе,6,,,слово контексту
звільнити,місце,5,,,слово контексту
звільнитися,з_роботи,6,103,12,слово контексту
звільнитися,від_проблем,3,,,слово контексту
звільнитися,робота,3,,,слово контексту
звільняти,з_роботи,19,99,32,слово контексту
звільняти,робота,7,,,слово контексту
звільняти,місце,6,,,слово контексту
звільнятися,з_роботи,16,101,33,слово контексту
звільнятися,свобода,9,,,слово контексту
звільнятися,робота,8,,,слово контексту
звір,лев,16,101,52,слово контексту
звір,вовк,12,,,слово контексту
звір,дикий,8,,,слово контексту
звір,тварина,8,,,синонім
звір,тигр,8,,,слово контексту
згадати,все,27,100,43,слово контексту
згадати,минуле,11,,,слово контексту
згадати,памʼять,5,,,слово контексту
згадка,памʼять,13,101,23,синонім
згадка,думка,5,,,синонім
згадка,загадка,5,,,слово контексту
згадувати,минуле,12,101,26,слово контексту
згадувати,думати,7,,,синонім
згадувати,памʼять,7,,,слово контексту
згрішити,гріх,7,100,23,слово контексту
згрішити,Бог,4,,,слово контексту
згрішити,вкрасти,4,,,слово контексту
згрішити,погано,4,,,слово контексту
згрішити,церква,4,,,слово контексту
здивований,сюрприз,5,101,9,слово контексту
здивований,приємно,4,,,слово контексту
здивовано,дивитися,13,101,25,слово контексту
здивовано,глянути,6,,,слово контексту
здивовано,подивитися,6,,,слово контексту
здивування,очі,10,101,25,слово контексту
здивування,подив,10,,,слово контексту
здивування,несподіванка,5,,,слово контексту
здивуватися,несподіванка,5,100,12,слово контексту
здивуватися,подив,4,,,слово контексту
здивуватися,новина,3,,,слово контексту
здобувати,освіту,29,101,46,слово контексту
здобувати,освіта,13,,,слово контексту
здобувати,знання,4,,,слово контексту
здобути,славу,14,101,38,слово контексту
здобути,освіту,18,,,слово контексту
здобути,перемогу,6,,,слово контексту
здобуток,великий,5,101,14,слово контексту
здобуток,гроші,5,,,слово контексту
здобуток,досягнення,4,,,слово контексту
зелений,колір,14,101,34,слово контексту
зелений,гай,8,,,слово контексту
зелений,синій,6,,,слово контексту
зелений,червоний,6,,,антонім
зеленіти,трава,14,101,33,слово контексту
зеленіти,весна,12,,,слово контексту
зеленіти,листя,7,,,слово контексту
земля,планета,7,101,19,синонім
земля,кругла,6,,,слово контексту
земля,чорна,6,,,слово контексту
зірка,ясна,10,102,24,слово контексту
зірка,небо,9,,,слово контексту
зірка,сонце,5,,,синонім
зʼїсти,мʼясо,6,101,22,слово контексту
зʼїсти,яблуко,6,,,слово контексту
зʼїсти,морозиво,5,,,слово контексту
зʼїсти,обід,5,,,слово контексту
злий,пес,20,101,40,слово контексту
злий,собака,12,,,слово контексту
злий,добрий,8,,,антонім
злитися,на_когось,9,101,17,слово контексту
злитися,нервуватися,5,,,синонім
злитися,нерви,3,,,слово контексту
зліва,справа,38,100,48,антонім
зліва,направо,10,,,антонім
злість,гнів,5,101,18,синонім
злість,нерви,5,,,синонім
злість,ненависть,4,,,синонім
злість,зло,4,,,слово контексту
зло,добро,24,99,38,антонім
зло,погане,4,,,синонім
зло,погано,4,,,слово контексту
зло,чорне,3,,,слово контексту
зло,людина,3,,,слово контексту
змогти,зробити,23,100,27,синонім
змогти,робити,4,,,слово контексту
знаний,відомий,32,101,44,синонім
знаний,авторитет,3,,,слово контексту
знаний,лікар,3,,,слово контексту
знаний,письменник,3,,,слово контексту
знаний,поет,3,,,слово контексту
знання,сила,10,99,21,слово контексту
знання,розум,7,,,синонім
знання,незнання,4,,,антонім
знати,все,12,101,20,слово контексту
знати,розум,4,,,слово контексту
знати,щось,4,,,слово контексту
зневіра,віра,4,101,16,антонім
зневіра,втрата,4,,,синонім
зневіра,байдужість,2,,,синонім
